"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio"
985341453633187,100064720237286,"Alcaldía de Tuluá","Conoce las noticias más importantes de esta semana en nuestro resumen “45 segundos #ParaSerFelices”💙✅","Conoce las noticias más importantes de esta semana en nuestro resumen “45 segundos #ParaSerFelices”💙✅",78,"10/27/2024 08:00",N/A,https://www.facebook.com/reel/1055474442939255/,1,0,Reels,,,,,Total,916,844,85,73,1,11,0,,,,1262,10363.509,9.146,0,0
984933583673974,100064720237286,"Alcaldía de Tuluá","MUNDO DE LA FANTASÍA 👻 vivimos hoy con todos los niños del CORAZÓN DEL VALLE 😍💙","MUNDO DE LA FANTASÍA 👻 vivimos hoy con todos los niños del CORAZÓN DEL VALLE 😍💙",69,"10/26/2024 19:45",uploaded,https://www.facebook.com/reel/567232139175256/,0,0,Reels,,,,,Total,4426,4382,582,457,63,62,0,,,,9412,125033.656,14.596,0,0
984860417014624,100064720237286,"Alcaldía de Tuluá","¡Gracias, Tuluá! 🙏🏼✨💙

Más de 5,000 niños y niñas disfrutaron del “Mundo de la Fantasía” este Halloween, y todo fue posible gracias a su participación. Agradecemos a cada tulueño que se unió a esta celebración mágica. Juntos, estamos construyendo un Tuluá mejor, donde nuestro lema “#Para SerFelices” cobra vida. ¡Sigamos trabajando juntos por nuestra comunidad! 💪✨🪄",,0,"10/26/2024 17:14",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0F7SGYWpNQNXG8quvYjpnipUyA2BAUCDmSy6RvPcx6ghHyFRqcf5PikXwgUTW8aHAl,0,0,Fotos,,,,,Total,6455,6081,185,151,18,16,2594,2303,291,,,,,,
984804937020172,100064720237286,"Alcaldía de Tuluá","¡Tuluá continúa llenándose de Magia en el “Mundo de la Fantasía”! 🎃✨

Seguimos ofreciendo a los niños y niñas espacios llenos de magia y diversión. Este evento está repleto de sorpresas y actividades emocionantes para toda la familia. ¡Únete a nosotros y celebra un Halloween inolvidable!🪄🙌🏼💙",,0,"10/26/2024 14:59",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02vmBWB58JaggW7zXC7fDEK9aoyFfWW8oidYotqCcfMLv1UD684FPUwVu7WSaB8XK8l,0,0,Fotos,,,,,Total,5105,5105,147,122,7,18,1898,1638,260,,,,,,
984750313692301,100064720237286,"Alcaldía de Tuluá","En el Mundo de la Fantasía, los niños y niñas son nuestra prioridad, por eso, hoy firmamos el Pacto por la Niñez✨🪄💙 #ParaSerFelices 🪄🤩",,0,"10/26/2024 13:00",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0ABxhtjwVeSDQ5bcEm3q7BH2bUSCsJYbT6oj9Hu91faqDTYt1knLgc57xcHGTsF7ml,0,0,Fotos,,,,,Total,2582,2531,80,62,6,12,182,153,29,,,,,,
984736253693707,100064720237286,"Alcaldía de Tuluá","¡Continuamos siendo felices en el Mundo de la Fantasía! 🎉✨

Las familias tulueños están disfrutando de este espacio mágico de forma gratuita. Aquí, cada sonrisa se convierte en un recuerdo inolvidable y cada momento es una celebración de alegría. ¡No se lo pierdan! ✨💙 #ParaSerFelices 🙌🏼",,0,"10/26/2024 12:30",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02CVR2DBKvgU4ZLcCSrcmp6oNbEdAMyGKLtAU91pnELQYz3aTkr9myQGn4cAeeRCexl,0,0,Fotos,,,,,Total,31631,30086,276,233,15,28,8912,7726,1186,,,,,,
984659463701386,100064720237286,"Alcaldía de Tuluá","Este día continúa siendo maravilloso 🤩",,0,"10/26/2024 09:55",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid032oXaDEKJnnfkbUYvqxnujLej8G68iiVd67rzXoq4u4qeGhtVq4T5wSAVJYed9NwAl,0,0,Fotos,,,,,Total,15058,14322,523,419,63,41,3898,3041,857,,,,,,
984658830368116,100064720237286,"Alcaldía de Tuluá","¡Seguimos aquí en el Coliseo de Ferias viviendo el Mundo de la Fantasía! 🎉✨ 

Los invitamos a que vengan a disfrutar de nuestros maravillosos stands llenos de magia y diversión. ¡No se lo pierdan, todos los niños y niñas son bienvenidos! ✨🪄💙 #ParaSerFelices #MundoDeLaFantasía","¡Seguimos aquí en el Coliseo de Ferias viviendo el Mundo de la Fantasía! 🎉✨ 

Los invitamos a que vengan a disfrutar de nuestros maravillosos stands llenos de magia y diversión. ¡No se lo pierdan, todos los niños y niñas son bienvenidos! ✨🪄💙 #ParaSerFelices #MundoDeLaFantasía",40,"10/26/2024 09:54",uploaded,https://www.facebook.com/reel/900912975319533/,1,0,Reels,,,,,Total,1291,1280,97,76,8,13,0,,,,2279,20585.17,10.914,0,0
984612810372718,100064720237286,"Alcaldía de Tuluá","¡Bienvenidos al Mundo de la Fantasía! 🎃✨ 

Estamos listos para vivir un espacio mágico y feliz para todos los niños y niñas. Tendremos mucha diversión y sorpresas. Ven ahora y vive una experiencia inolvidable. ¡Los esperamos! 🪄✨💙#ParaSerFelices",,0,"10/26/2024 08:32",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid09uoFEkErFLnZ3pa6XZQSbts1SHcNSnsoCMTKXhfzPKHA3ENiucmFP1QcrEWwgtnel,0,0,Fotos,,,,,Total,4936,4936,159,121,14,24,1669,1424,245,,,,,,
984092487091417,100064720237286,"Alcaldía de Tuluá","Hoy, el alcalde @gustavovelezr, participó de la Feria de Agroturismo de la @camaratulua, un evento fundamental que une a empresarios, agricultores e inversionistas tulueños.🌱✨ Este espacio promueve la innovación y la sostenibilidad, fortaleciendo la economía local. 

¡Te invitamos a que visites y hagas parte del progreso de Tuluá!  💪🏼#ParaSerFelices",,0,"10/25/2024 16:47",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0e1DHFKFBgYDPTX8NXrWjPTg8GyQWXLD7K81e41v5bFhAMdv4uWvbT1tNxn528b1Sl,0,0,Fotos,,,,,Total,8328,8043,168,121,4,43,2066,1834,228,4,,,,,
984049500429049,100064720237286,"Alcaldía de Tuluá","¡Mañana es el gran día! 🎉✨

La Administración Municipal, invita a todos los niños a sumergirse en una aventura mágica, mañana en el Coliseo de Ferias Manuel Victoria Rojas. 🌟 ¡Desde las 10 de la mañana podrás explorar el Mundo de la Fantasía! Con inflables, dulces y estaciones llenas de actividades asombrosas y mucho más. 🎃🪄

¡Ven a recorrer caminos encantados y vivir una experiencia única! ¡No se lo pueden perder! 🎈🙌🏼💙👻✨ #ParaSerFelices","¡Mañana es el gran día! 🎉✨

La Administración Municipal, invita a todos los niños a sumergirse en una aventura mágica, mañana en el Coliseo de Ferias Manuel Victoria Rojas. 🌟 ¡Desde las 10 de la mañana podrás explorar el Mundo de la Fantasía! Con inflables, dulces y estaciones llenas de actividades asombrosas y mucho más. 🎃🪄

¡Ven a recorrer caminos encantados y vivir una experiencia única! ¡No se lo pueden perder! 🎈🙌🏼💙👻✨ #ParaSerFelices",45,"10/25/2024 15:11",N/A,https://www.facebook.com/reel/1062837988549266/,1,0,Reels,,,,,Total,1116,1108,76,53,7,16,0,,,,1849,11592.063,7.213,0,0
983937760440223,100064720237286,"Alcaldía de Tuluá","¡Amigos con el Alcalde! 👧🏻🎈🪅💙🗣️

Bienvenidos a este espacio creado para la comunidad. Hoy estaremos con tres pequeños grandes amigos hablando de diferentes temas e interactuando con nuestra comunidad tulueña.

¡Vamos a construir una Tuluá #ParaSerFelices! 💙","¡Amigos con el Alcalde! 👧🏻🎈🪅💙🗣️

Bienvenidos a este espacio creado para la comunidad. Hoy estaremos con tres pequeños grandes amigos hablando de diferentes temas e interactuando con nuestra comunidad tulueña.

¡Vamos a construir una Tuluá #ParaSerFelices! 💙",2545,"10/25/2024 11:15",auto,https://www.facebook.com/reel/1863138317544563/,1,0,Reels,,,,,Total,800,789,28,28,0,0,0,,,,269,2430.963,10.852,0,0
2343645415984978,100064720237286,"Alcaldía de Tuluá","¡Amigos con el Alcalde 👧🏻🎈🪅💙🗣️","¡Amigos con el Alcalde 👧🏻🎈🪅💙🗣️

Bienvenidos a este espacio creado para la comunidad. Hoy estaremos con tres pequeños grandes amigos hablando de diferentes temas e interactuando con nuestra comunidad tulueña.

¡Vamos a construir una Tuluá #ParaSerFelices! 💙",2757,"10/25/2024 10:23",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/2343645415984978/,0,0,"En vivo",,,,,Total,,2616,444,331,66,47,,,,,4721,149208.369,37.527,0,
983673357133330,100064720237286,"Alcaldía de Tuluá","¡32 hombres y mujeres serán guardianes de espacio público!🦺✅

Con el objetivo de fortalecer el diálogo y la sana convivencia en nuestro municipio, este grupo que desde enero ha trabajado por el diálogo y la seguridad ahora, estarán identificados con nuevos uniformes para facilitar su reconocimiento. 

¡Construyamos juntos un mejor municipio! #ParaSerFelices🙌🏼💙","¡32 hombres y mujeres serán guardianes de espacio público!🦺✅

Con el objetivo de fortalecer el diálogo y la sana convivencia en nuestro municipio, este grupo que desde enero ha trabajado por el diálogo y la seguridad ahora, estarán identificados con nuevos uniformes para facilitar su reconocimiento. 

¡Construyamos juntos un mejor municipio! #ParaSerFelices🙌🏼💙",99,"10/25/2024 04:26",uploaded,https://www.facebook.com/reel/1312462619744795/,1,0,Reels,,,,,Total,1483,1420,113,88,15,10,0,,,,2783,48114.231,19.33,0,0
983287373838595,100064720237286,"Alcaldía de Tuluá","¡Compromiso con la Educación! 🎓✨

Hoy, el alcalde @gustavovelezr, participó en la audiencia pública “Plan Maestro” en la @universidaddelvallesedetulua. Junto a los Ministros de Educación, Daniel Rojas, y de Hacienda y Crédito Público, Ricardo Bonilla, escuchó a la comunidad estudiantil. La Administración reafirma su compromiso con el progreso educativo. 

¡Juntos avanzamos hacia un futuro mejor! #ParaSerFelices 🙌🏼💙",,0,"10/24/2024 17:38",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02NBQk87CA58RE32XcWPjBwSEToTcR6ojDEm2ZvGxTzrfVMnFRYysBnuX26qspgh35l,0,0,Fotos,,,,,Total,5145,5145,131,78,18,35,793,667,124,2,,,,,
983238810510118,100064720237286,"Alcaldía de Tuluá","🎉 ¡Este sábado, los niños de Tuluá están invitados a explorar el Mundo de la Fantasía en una Aventura “ParaSerFelices”! 🌈✨

🌟 Sigue estos tips para tener un día lleno de magia, diversión y aprendizaje para disfrutar al máximo. ¡No se lo pueden perder!💙",,0,"10/24/2024 16:03",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0rcozezDQq7Q8GQvpbQ38ZLbrAxWiE7YMmHLgQbE1NLqXnJz89bcHyejZ4QYPFVA5l,0,0,Fotos,,,,,Total,5278,5278,85,54,0,31,168,130,38,,,,,,
